dt     Re(F(t))  Im(F(t))
19.0000    -1.810877   -0.002727
19.2500    -1.829932   0.336845
19.5000    -1.763026   0.677577
19.7500    -1.612055   0.996272
20.0000    -1.385263   1.271037
20.2500    -1.096647   1.483002
20.5000    -0.764898   1.617799
20.7500    -0.411975   1.666700
21.0000    -0.061416   1.627303
21.2500    0.263478   1.503721
21.5000    0.541439   1.306261
21.7500    0.754864   1.050613
22.0000    0.891159   0.756615
22.2500    0.943683   0.446695
22.5000    0.912222   0.144116
22.7500    0.802948   -0.128844
23.0000    0.627876   -0.352627
23.2500    0.403861   -0.511898
23.5000    0.151212   -0.596712
23.7500    -0.107959   -0.603248
24.0000    -0.351527   -0.534036
24.2500    -0.559133   -0.397693
24.5000    -0.713810   -0.208153
24.7500    -0.803329   0.016518
25.0000    -0.821155   0.255636
25.2500    -0.766941   0.487622
25.5000    -0.646505   0.691786
25.7500    -0.471321   0.850044
26.0000    -0.257535   0.948400
26.2500    -0.024612   0.978112
26.5000    0.206297   0.936412
26.7500    0.414118   0.826743
27.0000    0.579622   0.658490
27.2500    0.687035   0.446216
27.5000    0.725377   0.208486
27.7500    0.689410   -0.033654
28.0000    0.580127   -0.258397
28.2500    0.404725   -0.444968
28.5000    0.176089   -0.575338
28.7500    -0.088201   -0.635732
29.0000    -0.367239   -0.617792
29.2500    -0.638439   -0.519315
29.5000    -0.879332   -0.344502
29.7500    -1.069347   -0.103687
30.0000    -1.191470   0.187413
30.2500    -1.233609   0.508894
30.5000    -1.189584   0.838188
30.7500    -1.059648   1.151808
31.0000    -0.850501   1.427174
31.2500    -0.574795   1.644360
31.5000    -0.250170   1.787646
31.7500    0.102106   1.846738
32.0000    0.458781   1.817550
32.2500    0.796418   1.702510
32.5000    1.093203   1.510345
32.7500    1.330624   1.255368
33.0000    1.494883   0.956333
33.2500    1.577925   0.634938
33.5000    1.578014   0.314102
33.7500    1.499800   0.016159
34.0000    1.353878   -0.238903
34.2500    1.155878   -0.434995
34.5000    0.925152   -0.561166
34.7500    0.683171   -0.612422
35.0000    0.451762   -0.590058
35.2500    0.251325   -0.501487
35.5000    0.099167   -0.359563
35.7500    0.008107   -0.181482
36.0000    -0.014563   0.012683
36.2500    0.032346   0.201667
36.5000    0.143842   0.364796
36.7500    0.309176   0.483717
37.0000    0.512742   0.543938
37.2500    0.735373   0.536054
37.5000    0.955929   0.456558
37.7500    1.153055   0.308165
38.0000    1.306955   0.099637
38.2500    1.401051   -0.154892
38.5000    1.423386   -0.437033
38.7500    1.367655   -0.725604
39.0000    1.233785   -0.998333
39.2500    1.028016   -1.233654
39.5000    0.762471   -1.412460
39.7500    0.454249   -1.519662
40.0000    0.124119   -1.545438
40.2500    -0.205092   -1.486072
40.5000    -0.510275   -1.344295
40.7500    -0.769853   -1.129132
41.0000    -0.965475   -0.855240
41.2500    -1.083460   -0.541795
41.5000    -1.115878   -0.211026
41.7500    -1.061176   0.113500
42.0000    -0.924302   0.408695
42.2500    -0.716316   0.653736
42.5000    -0.453523   0.831666
42.7500    -0.156192   0.930693
43.0000    0.153041   0.945072
43.2500    0.450940   0.875519
43.5000    0.715487   0.729098
43.7500    0.927593   0.518622
44.0000    1.072568   0.261587
44.2500    1.141236   -0.021253
44.5000    1.130603   -0.307561
44.7500    1.044027   -0.575222
45.0000    0.890880   -0.804101
45.2500    0.685725   -0.977653
45.5000    0.447083   -1.084218
45.7500    0.195882   -1.117928
46.0000    -0.046279   -1.079130
46.2500    -0.258921   -0.974309
46.5000    -0.424368   -0.815511
46.7500    -0.529205   -0.619310
47.0000    -0.565386   -0.405411
47.2500    -0.530900   -0.194994
47.5000    -0.429939   -0.008943
47.7500    -0.272565   0.133906
48.0000    -0.073893   0.218353
48.2500    0.147141   0.234126
48.5000    0.369328   0.176773
48.7500    0.570927   0.048085
49.0000    0.731453   -0.143988
49.2500    0.833375   -0.385924
49.5000    0.863581   -0.659667
49.7500    0.814497   -0.944044
50.0000    0.684764   -1.216435
